NOUN,ADP,PUNCT,DET,VERB,ADJ,AUX,CCONJ,NUM,PRON,ADV,PROPN,SCONJ,X,file_name,SYM,SPACE,INTJ,nominality,nominality_wider,avg_article_length,avg_section_length,len_in_words,name,type,year
1433,979,619,511,422,398,200,155,144,109,100,47,44,17,1927_1443.txt,0.0,0.0,0.0,3.4,3.43,68.23,67.17,4431,geologic and mining law,administrative,1927
19159,14138,12082,6564,6046,5924,2413,3697,3504,2566,2007,938,1057,8,1930_1398.txt,1.0,0.0,0.0,3.17,3.79,94.28,94.01,66694,penal code,penal,1930
13563,9178,8935,4848,4155,3426,1902,1732,2135,1729,1474,571,834,5,1940_1443.txt,1.0,0.0,0.0,3.26,3.54,89.18,88.82,44189,civil procedure,civil,1940
13485,10116,5918,4330,3467,3982,1244,2294,1787,1296,1065,463,411,120,1941_633.txt,3.0,0.0,0.0,3.89,4.46,139.54,60.38,42723,author and ip,civil,1941
23239,15881,13418,8634,7668,5675,3896,3264,2357,3502,2489,780,1380,20,1942_262.txt,1.0,1.0,0.0,3.03,3.07,61.07,60.81,75968,civil code,civil,1942
23844,17704,12631,5399,5281,7238,1621,3739,5535,2415,1665,1990,536,385,1972_633.txt,7.0,3.0,1.0,4.52,5.94,433.87,148.62,74362,value added tax,tax,1972
3503,2674,1303,928,750,1012,341,522,640,341,262,109,73,9,1975_110.txt,0.0,0.0,0.0,4.67,5.14,244.82,185.48,10816,weaponry,administrative,1975
8194,6526,3071,2213,1731,3496,499,1319,922,650,375,232,57,110,1978_833.txt,0.0,0.0,0.0,4.73,6.05,306.59,302.93,25530,medical activities,administrative,1978
32981,27952,15800,6874,5851,8933,1939,3622,11592,2396,1351,1226,165,220,197_2022.txt,2.0,0.0,0.0,5.64,7.33,,,,,,197
882,714,337,202,148,281,47,140,136,63,35,40,5,5,1982_752.txt,0.0,0.0,0.0,5.96,7.19,143.22,143.22,2596,geologic and mining law,administrative,1982
4343,3261,2013,1621,1277,1289,554,604,679,520,388,115,192,39,1983_184.txt,0.0,0.0,0.0,3.4,3.79,161.23,54.98,14276,procedure regarding minors,administrative,1983
19614,15769,9519,4581,4503,6184,1259,2751,4507,2243,1583,910,419,487,1986_917.txt,0.0,0.0,2.0,4.36,5.81,400.65,97.97,62255,corporate income tax,tax,1986
19167,13542,9677,6407,6233,4945,2652,2808,3886,2298,2044,398,1166,114,1988_447.txt,0.0,0.0,0.0,3.08,3.45,156.21,39.98,63513,penal procedure,penal,1988
3506,2701,1702,924,693,1018,287,490,535,296,192,188,56,54,1990_185.txt,4.0,0.0,0.0,5.06,5.66,228.78,51.59,10570,weaponry,administrative,1990
5092,3915,3041,1274,1175,1337,442,834,1355,516,368,269,162,108,1990_346.txt,0.0,0.0,0.0,4.33,5.3,127.47,49.11,16146,inheritance tax,tax,1990
12013,9331,4803,3078,2320,4875,551,1815,1719,738,595,407,91,182,1992_502.txt,4.0,0.0,0.0,5.18,6.88,522.04,98.22,36613,medical activities,administrative,1992
1766,1241,882,636,487,632,252,213,304,245,154,150,112,20,1995_218.txt,0.0,0.0,0.0,3.63,4.19,75.89,27.25,6074,private international law,civil,1995
19639,15710,11334,4570,4557,5829,1471,2492,5828,2042,1173,1196,394,344,1995_504.txt,5.0,1.0,0.0,4.31,5.73,335.59,80.43,62923,excise tax,tax,1995
5830,4596,2942,1330,1125,1772,383,685,1853,543,344,381,92,97,1997_446.txt,8.0,0.0,0.0,5.18,6.88,247.07,63.19,18352,value added tax,tax,1997
