file_name,avg_article_length,avg_section_length,len_in_words
1927_1443.txt,68.23,67.17,4431
1930_1398.txt,94.28,94.01,66694
1940_1443.txt,89.18,88.82,44189
1941_633.txt,139.54,60.38,42723
1942_262.txt,61.07,60.81,75968
1972_633.txt,433.87,148.62,74362
1975_110.txt,244.82,185.48,10816
1978_833.txt,306.59,302.93,25530
1982_752.txt,143.22,143.22,2596
1983_184.txt,161.23,54.98,14276
1986_917.txt,400.65,97.97,62255
1988_447.txt,156.21,39.98,63513
1990_185.txt,228.78,51.59,10570
1990_346.txt,127.47,49.11,16146
1992_502.txt,522.04,98.22,36613
1995_218.txt,75.89,27.25,6074
1995_504.txt,335.59,80.43,62923
1997_446.txt,247.07,63.19,18352
1998_286.txt,751.49,110.64,57942
1999_68.txt,386.5,79.17,9300
2000_212.txt,182.08,43.27,6774
2000_74.txt,159.34,59.36,5131
2003_259.txt,288.19,66.94,96878
2005_30.txt,198.16,46.15,57757
2010_104.txt,95.78,36.94,33181
2014_139.txt,583.06,182.87,9926
2014_45.txt,414.71,91.38,5817
2016_76.txt,1456.67,58.9,4371
2019_14.txt,225.35,49.06,88502
2020_116.txt,1238.73,123.39,37171
2022_197.txt,3640.32,99.65,101957
2023_213.txt,1823.41,98.34,74801
2023_36.txt,2363.33,80.52,38246
2023_59.txt,200.88,46.97,4845
2024_154.txt,642.5,150.41,2574
2024_87.txt,689.54,235.24,8972
