NOUN,ADP,PUNCT,DET,VERB,ADJ,AUX,CCONJ,NUM,PRON,ADV,PROPN,SCONJ,X,file_name,SYM,SPACE,INTJ
1433,979,619,511,422,398,200,155,144,109,100,47,44,17,1927_1443.txt,0.0,0.0,0.0
19159,14138,12082,6564,6046,5924,2413,3697,3504,2566,2007,938,1057,8,1930_1398.txt,1.0,0.0,0.0
13563,9178,8935,4848,4155,3426,1902,1732,2135,1729,1474,571,834,5,1940_1443.txt,1.0,0.0,0.0
13485,10116,5918,4330,3467,3982,1244,2294,1787,1296,1065,463,411,120,1941_633.txt,3.0,0.0,0.0
23239,15881,13418,8634,7668,5675,3896,3264,2357,3502,2489,780,1380,20,1942_262.txt,1.0,1.0,0.0
23844,17704,12631,5399,5281,7238,1621,3739,5535,2415,1665,1990,536,385,1972_633.txt,7.0,3.0,1.0
3503,2674,1303,928,750,1012,341,522,640,341,262,109,73,9,1975_110.txt,0.0,0.0,0.0
8194,6526,3071,2213,1731,3496,499,1319,922,650,375,232,57,110,1978_833.txt,0.0,0.0,0.0
32981,27952,15800,6874,5851,8933,1939,3622,11592,2396,1351,1226,165,220,197_2022.txt,2.0,0.0,0.0
882,714,337,202,148,281,47,140,136,63,35,40,5,5,1982_752.txt,0.0,0.0,0.0
4343,3261,2013,1621,1277,1289,554,604,679,520,388,115,192,39,1983_184.txt,0.0,0.0,0.0
19614,15769,9519,4581,4503,6184,1259,2751,4507,2243,1583,910,419,487,1986_917.txt,0.0,0.0,2.0
19167,13542,9677,6407,6233,4945,2652,2808,3886,2298,2044,398,1166,114,1988_447.txt,0.0,0.0,0.0
3506,2701,1702,924,693,1018,287,490,535,296,192,188,56,54,1990_185.txt,4.0,0.0,0.0
5092,3915,3041,1274,1175,1337,442,834,1355,516,368,269,162,108,1990_346.txt,0.0,0.0,0.0
12013,9331,4803,3078,2320,4875,551,1815,1719,738,595,407,91,182,1992_502.txt,4.0,0.0,0.0
1766,1241,882,636,487,632,252,213,304,245,154,150,112,20,1995_218.txt,0.0,0.0,0.0
19639,15710,11334,4570,4557,5829,1471,2492,5828,2042,1173,1196,394,344,1995_504.txt,5.0,1.0,0.0
5830,4596,2942,1330,1125,1772,383,685,1853,543,344,381,92,97,1997_446.txt,8.0,0.0,0.0
18529,15132,7764,4642,3996,5498,1581,2570,3332,1771,1329,894,402,228,1998_286.txt,4.0,0.0,0.0
3012,2436,1297,712,620,972,198,335,750,322,143,66,34,29,1999_68.txt,0.0,0.0,0.0
2175,1594,1153,582,510,746,186,285,368,179,213,56,38,33,2000_212.txt,0.0,0.0,0.0
1595,1194,862,373,392,550,143,231,338,175,156,57,57,18,2000_74.txt,0.0,0.0,0.0
31267,23496,13803,8820,7023,10473,2053,4396,5704,2409,2055,1508,748,493,2003_259.txt,12.0,0.0,3.0
18284,13365,8425,5755,4610,5187,2156,2897,2690,1766,1408,524,699,287,2005_30.txt,1.0,0.0,0.0
10979,7312,5386,2942,2365,3283,998,1189,2507,912,738,337,290,160,2010_104.txt,3.0,0.0,0.0
3134,2412,2392,829,727,891,363,414,1027,268,152,78,45,71,2014_139.txt,0.0,0.0,0.0
1939,1499,841,485,347,675,122,361,305,88,77,121,19,32,2014_45.txt,0.0,0.0,0.0
1405,1129,609,375,311,441,122,174,311,135,81,14,38,22,2016_76.txt,0.0,0.0,1.0
28665,21126,13582,8767,7147,7762,2747,3842,5037,2662,2282,355,1011,249,2019_14.txt,2.0,0.0,0.0
11614,7900,5112,2396,2420,3419,608,1810,4974,1060,693,342,131,192,2020_116.txt,15.0,0.0,2.0
32919,27924,15786,6868,5747,8947,1942,3623,11644,2402,1349,1287,166,298,2022_197.txt,2.0,0.0,0.0
24649,20554,11909,4990,4077,6558,1444,2539,8510,1670,873,1047,150,263,2023_213.txt,19.0,0.0,0.0
12334,9508,4996,3591,2810,4369,912,1876,1750,1080,777,360,290,204,2023_36.txt,0.0,0.0,0.0
1529,1264,617,436,314,497,82,186,337,147,60,158,6,23,2023_59.txt,0.0,0.0,0.0
849,604,481,163,178,290,42,130,182,32,56,118,10,48,2024_154.txt,11.0,0.0,0.0
2671,2039,2444,712,641,834,395,294,1108,189,196,45,89,67,2024_87.txt,0.0,0.0,0.0
2191,1599,1156,576,506,745,183,286,367,178,214,56,38,23,212_2000.txt,0.0,0.0,0.0
24716,20577,11917,4991,4146,6562,1441,2541,8498,1659,876,1031,154,127,213_2023.txt,16.0,0.0,0.0
5821,4607,2963,1321,1122,1797,366,684,1871,532,345,395,95,57,446_1997.txt,5.0,0.0,0.0
24002,17780,12676,5359,5308,7195,1569,3741,5491,2408,1662,2073,540,186,633_1972.txt,4.0,0.0,0.0
19842,15812,9569,4572,4525,6202,1249,2749,4457,2252,1568,854,419,261,917_1986.txt,0.0,0.0,0.0
